PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Russell Westbrook,OKC,28,81,46,35,34.6,107.9,104.6,3.3,54.3,1.92,23.4,5.3,27.9,16.7,12.2,47.6,55.4,40.8,102.31,23.0,0,1,PG,28,34.6,10.2,24.0,0.425,2.5,7.2,0.3429999999999999,7.7,16.8,0.4589999999999999,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,6.74,-0.47,6.27,17.34,23.0,102.31,46,26.5,4279.0,2130.5,559.0
Anthony Davis,NOP,24,75,31,44,36.1,104.2,102.5,1.7,11.0,0.87,7.3,6.7,26.9,17.0,8.4,51.8,58.0,32.6,100.19,19.2,2,4,C,23,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,NO,75,36.1,0.45,3.9,4.35,12.81,19.2,100.19,31,22.12,82.5,368.0,104.0
James Harden,HOU,27,81,54,27,36.4,113.6,107.3,6.3,50.5,1.95,27.6,3.5,21.2,12.3,14.1,52.5,61.3,34.1,102.98,19.0,1,2,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,6.38,-1.57,4.81,15.54,19.0,102.98,54,26.5,3279.0,969.0,321.5
Kevin Durant,GSW,28,62,51,11,33.4,117.2,101.3,16.0,21.8,2.17,18.4,2.3,23.2,13.7,8.5,59.4,65.1,27.6,103.71,18.6,9,12,SF,28,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,4.41,1.33,5.74,12.24,18.6,103.71,51,26.5,6288.5,1425.5,366.0
LeBron James,CLE,32,74,51,23,37.8,114.9,107.1,7.7,38.8,2.13,25.6,4.0,20.9,12.7,12.0,59.4,61.9,29.7,98.38,18.3,5,8,SF,32,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,6.49,1.93,8.42,20.43,18.3,98.38,51,30.96,14704.0,5533.5,1501.5
Chris Paul,LAC,32,61,43,18,31.5,116.2,101.3,14.9,44.4,3.83,35.0,2.5,14.9,8.9,9.1,55.5,61.4,24.3,98.19,18.2,33,42,PG,31,31.5,6.1,12.9,0.476,2.0,5.0,0.411,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,LAC,61,31.5,5.16,2.76,7.92,13.48,18.2,98.19,43,22.87,2689.5,829.0,178.5
DeMarcus Cousins,NOP,26,72,30,42,34.2,106.7,109.0,-2.2,26.2,1.23,14.3,7.2,30.5,18.8,11.6,49.8,56.2,36.4,97.11,17.8,3,6,C,26,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,NO/SAC,72,34.2,3.56,0.64,4.2,11.26,17.8,97.11,30,16.96,1625.5,102.0,91.5
Kawhi Leonard,SAS,26,74,54,20,33.4,112.6,104.0,8.6,18.2,1.69,13.3,3.8,16.0,10.0,7.9,54.1,61.0,31.2,95.79,17.4,6,9,SF,25,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,5.83,1.25,7.08,15.53,17.4,95.79,54,17.64,2446.5,2701.5,716.5
Joel Embiid,PHI,23,31,13,18,25.4,102.4,99.1,3.2,17.4,0.56,9.2,9.2,24.7,17.3,16.3,50.8,58.4,36.3,100.25,17.4,25,32,C,22,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.7829999999999999,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,PHI,31,25.4,-0.57,2.27,1.7,2.46,17.4,100.25,13,4.83,1075.5,6852.5,2941.0
Karl-Anthony Towns,MIN,21,82,31,51,37.0,109.9,110.8,-0.9,12.7,1.04,10.5,11.4,27.7,19.5,10.1,57.6,61.8,27.4,97.1,17.1,10,13,C,21,37.0,9.8,18.0,0.542,1.2,3.4,0.367,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37.0,3.54,-1.41,2.13,10.0,17.1,97.1,31,5.96,2046.5,0.0,105.0
Nikola Jokic,DEN,22,73,37,36,27.9,114.9,109.8,5.1,26.6,2.1,24.2,11.9,27.2,19.7,11.5,60.5,64.0,23.4,100.76,16.7,40,51,C,21,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,DEN,73,27.9,4.44,2.29,6.73,13.18,16.7,100.76,37,1.36,8.0,0.0,1.0
Jimmy Butler,CHI,27,76,40,36,37.0,106.4,103.4,3.0,24.3,2.62,19.6,5.0,13.1,9.0,7.5,49.2,58.6,26.5,97.78,16.4,11,14,SF,27,37.0,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,CHI,76,37.0,4.82,1.8,6.62,17.35,16.4,97.78,40,17.55,41.0,89.5,30.0
Rudy Gobert,UTA,25,81,51,30,33.9,108.7,100.6,8.1,5.7,0.66,9.0,13.8,28.8,21.7,13.6,66.1,68.1,16.7,93.11,16.1,59,77,C,24,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,5.1,7.7,0.662,0.6609999999999999,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,UTAH,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51,2.12,368.5,731.0,225.5
Mike Conley,MEM,29,69,35,34,33.2,108.6,105.5,3.1,32.9,2.78,24.6,1.5,10.8,6.1,8.9,54.5,60.4,26.3,94.64,16.0,23,29,PG,29,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.497,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,MEM,69,33.2,4.67,-0.2,4.47,10.5,16.0,94.64,35,26.54,11.0,257.5,90.0
Damian Lillard,POR,26,75,38,37,35.9,110.1,108.9,1.2,27.7,2.23,18.6,1.8,13.4,7.5,8.3,51.6,58.6,30.9,99.68,15.9,4,7,PG,26,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,POR,75,35.9,4.63,-1.49,3.14,10.72,15.9,99.68,38,24.33,1830.5,186.5,43.0
Gordon Hayward,UTA,27,73,46,27,34.5,109.5,102.4,7.1,17.9,1.8,14.5,2.3,15.2,9.0,8.1,53.6,59.5,27.6,93.44,15.8,20,26,SF,26,34.5,7.5,15.8,0.471,2.0,5.1,0.3979999999999999,5.4,10.7,0.506,0.536,5.0,5.9,0.8440000000000001,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,UTAH,73,34.5,3.14,-0.08,3.06,9.45,15.8,93.44,46,16.07,689.0,319.0,50.5
Enes Kanter,OKC,25,72,43,29,21.3,107.8,107.9,-0.1,7.8,0.54,6.4,14.7,21.0,17.9,11.7,54.9,59.9,27.5,99.17,15.4,56,73,C,24,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.5489999999999999,3.1,4.0,0.7859999999999999,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,OKC,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43,17.15,713.0,147.0,195.0
John Wall,WAS,26,78,48,30,36.4,111.2,107.3,3.9,45.0,2.58,29.5,2.3,10.5,6.4,11.4,48.2,54.1,30.2,101.07,15.3,16,19,PG,26,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,WSH,78,36.4,3.52,-1.26,2.26,9.9,15.3,101.07,48,16.96,57.0,0.0,77.0
Blake Griffin,LAC,28,61,40,21,34.0,115.2,104.6,10.6,23.5,2.11,18.8,6.4,20.4,13.7,8.9,51.3,56.9,27.8,98.71,15.2,21,27,PF,27,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61,34.0,3.02,0.76,3.78,9.2,15.2,98.71,40,20.14,2257.0,269.0,98.5
Zach Randolph,MEM,35,73,38,35,24.5,104.1,105.2,-1.1,13.1,1.23,9.6,11.3,28.0,19.3,7.8,46.0,49.0,28.5,94.36,15.2,58,76,PF,35,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,MEM,73,24.5,-0.37,-1.05,-1.42,1.83,15.2,94.36,38,10.36,528.5,47.0,18.5
Dwight Howard,ATL,31,74,37,37,29.7,101.1,103.1,-2.0,7.6,0.61,9.7,15.3,31.0,23.4,15.8,63.3,62.7,19.1,99.8,15.1,67,88,C,31,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,ATL,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37,23.18,2558.5,7.0,1.0
Stephen Curry,GSW,29,79,65,14,33.4,118.1,100.9,17.2,28.7,2.19,22.2,2.7,11.3,7.3,10.1,58.0,62.4,29.2,105.08,15.1,7,10,PG,28,33.4,8.5,18.3,0.4679999999999999,4.1,10.0,0.411,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,GS,79,33.4,7.27,0.14,7.41,18.8,15.1,105.08,65,12.11,17570.5,12278.0,2893.0
Marc Gasol,MEM,32,74,40,34,34.2,106.5,105.1,1.4,24.6,2.04,18.7,2.7,19.0,10.6,9.2,50.3,55.4,26.7,94.43,15.1,27,34,C,32,34.2,7.2,15.7,0.4589999999999999,1.4,3.6,0.3879999999999999,5.8,12.1,0.48,0.503,3.8,4.5,0.8370000000000001,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,MEM,74,34.2,1.86,0.72,2.58,8.69,15.1,94.43,40,21.17,825.0,0.0,75.5
Kevin Love,CLE,28,60,40,20,31.4,113.2,106.0,7.2,9.3,0.95,9.4,8.7,29.5,19.3,9.9,51.0,57.3,25.5,99.66,14.8,28,36,PF,28,31.4,6.2,14.5,0.427,2.4,6.5,0.373,3.8,8.0,0.471,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,CLE,60,31.4,2.77,2.26,5.03,9.76,14.8,99.66,40,21.17,2013.5,866.5,194.5
Pau Gasol,SAS,36,64,47,17,25.4,110.7,104.0,6.8,14.3,1.85,16.4,7.7,27.1,17.6,8.8,54.8,57.8,21.6,95.48,14.3,73,105,C,36,25.4,4.7,9.4,0.502,0.9,1.6,0.5379999999999999,3.9,7.8,0.494,0.5479999999999999,2.0,2.9,0.7070000000000001,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,SA,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47,15.5,1983.5,882.5,148.5
Nikola Vucevic,ORL,26,75,27,48,28.8,102.5,106.1,-3.6,15.7,1.78,14.6,8.6,30.6,19.3,8.2,48.0,49.8,24.3,100.74,14.2,53,67,C,26,28.8,6.4,13.7,0.4679999999999999,0.3,1.0,0.307,6.1,12.7,0.481,0.48,1.4,2.1,0.669,2.3,8.0,10.4,2.8,1.0,1.0,1.6,2.4,14.6,ORL,75,28.8,-1.38,2.15,0.77,5.44,14.2,100.74,27,11.75,10.0,5.5,35.5
Eric Bledsoe,PHX,27,66,22,44,33.0,106.1,110.2,-4.1,30.9,1.87,22.3,2.5,13.9,8.0,11.9,48.5,56.3,28.0,103.09,14.1,22,28,PG,27,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,PHX,66,33.0,2.33,-0.64,1.69,6.85,14.1,103.09,22,14.0,434.5,9.0,30.5
Greg Monroe,MIL,27,81,42,39,22.5,110.1,106.4,3.7,16.5,1.34,16.1,11.2,23.7,17.6,12.1,53.3,57.2,24.2,96.98,13.9,79,112,C,26,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,4.8,8.9,0.536,0.5329999999999999,2.2,3.0,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,MIL,81,22.5,1.08,0.47,1.55,5.34,13.9,96.98,42,17.15,271.0,9.0,7.0
Kemba Walker,CHA,27,79,36,43,34.7,109.0,105.4,3.6,28.2,2.58,19.6,1.8,10.7,6.2,7.6,52.7,56.9,29.1,98.19,13.7,14,17,PG,26,34.7,8.1,18.3,0.444,3.0,7.6,0.3989999999999999,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,CHA,79,34.7,3.93,-1.25,2.68,9.95,13.7,98.19,36,12.0,640.5,59.5,32.5
Jonas Valanciunas,TOR,25,80,50,30,25.8,109.6,107.2,2.5,4.3,0.54,5.9,12.4,29.7,21.0,11.0,55.8,60.1,19.5,96.61,13.6,76,108,C,24,25.8,4.9,8.8,0.557,0.0,0.0,0.5,4.9,8.8,0.557,0.5579999999999999,2.2,2.7,0.8109999999999999,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0,TOR,80,25.8,-0.74,0.75,0.01,4.06,13.6,96.61,50,14.38,6.0,65.0,40.0
Paul George,IND,27,75,39,36,35.9,108.9,106.0,2.9,15.7,1.14,12.7,2.5,17.8,10.3,11.1,53.4,58.7,29.0,98.13,13.6,12,15,SF,26,35.9,8.3,18.0,0.461,2.6,6.6,0.3929999999999999,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,IND,75,35.9,2.67,-0.09,2.58,9.72,13.6,98.13,39,18.31,1600.0,228.5,128.0
Kyrie Irving,CLE,25,72,47,25,35.1,114.2,109.1,5.1,27.8,2.32,19.3,2.3,7.5,5.0,8.3,53.5,58.0,30.2,99.12,13.5,8,11,PG,24,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72,35.1,4.35,-2.3,2.05,8.28,13.5,99.12,47,17.64,4796.0,1541.0,695.0
J.J. Barea,DAL,33,35,11,24,22.0,104.6,102.8,1.8,42.1,3.06,31.1,1.3,11.7,6.4,10.1,49.1,52.1,26.1,95.14,13.4,86,123,PG,32,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,DAL,35,22.0,0.15,-1.57,-1.42,0.8,13.4,95.14,11,4.1,5.0,0.0,17.5
Willy Hernangomez,NYK,23,72,27,45,18.4,104.8,107.6,-2.8,11.6,0.96,13.4,14.2,26.3,20.4,14.0,53.3,56.4,20.2,99.12,13.3,130,197,C,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.5379999999999999,0.5329999999999999,1.3,1.7,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2,NY,72,18.4,-0.75,0.4,-0.35,2.37,13.3,99.12,27,1.44,2.0,0.0,55.5
Kyle O'Quinn,NYK,27,79,29,50,15.6,102.1,108.9,-6.8,14.9,1.54,18.2,13.8,25.0,19.3,11.8,52.3,55.2,18.6,97.82,13.2,164,267,C,26,15.6,2.7,5.2,0.521,0.0,0.2,0.118,2.7,5.0,0.5379999999999999,0.523,0.8,1.1,0.7709999999999999,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3,NY,79,15.6,-1.28,1.16,-0.12,2.31,13.2,97.82,29,3.92,152.0,0.0,7.0
Jeremy Lin,BKN,28,36,13,23,24.5,103.5,106.4,-2.9,33.8,2.14,25.1,1.3,14.6,8.0,11.7,51.0,56.6,25.9,106.86,13.1,54,70,PG,28,24.5,4.9,11.1,0.4379999999999999,1.6,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.9,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,BKN,36,24.5,0.48,-0.03,0.45,2.21,13.1,106.86,13,11.48,3147.0,936.5,197.5
Jeff Teague,IND,29,82,42,40,32.4,108.1,106.8,1.2,35.9,2.96,32.8,1.4,12.3,7.0,11.1,49.2,57.4,22.1,98.98,13.1,48,60,PG,28,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8.0,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,IND,82,32.4,1.86,-0.22,1.64,8.08,13.1,98.98,42,8.8,12.0,17.5,13.5
Tyson Chandler,PHX,34,47,15,32,27.6,106.6,109.5,-2.9,3.3,0.46,7.9,12.7,33.9,23.0,17.2,67.1,70.3,11.3,101.88,13.1,128,193,C,34,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,PHX,47,27.6,-1.06,2.2,1.14,3.55,13.1,101.88,15,12.42,832.0,29.0,9.0
Goran Dragic,MIA,31,73,40,33,33.7,106.7,106.0,0.6,28.3,2.0,22.0,2.8,9.8,6.3,11.0,52.7,57.5,26.8,98.16,13.0,24,31,PG,30,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,MIA,73,33.7,2.54,-1.62,0.92,6.3,13.0,98.16,40,15.89,19.0,62.5,45.0
George Hill,UTA,31,49,33,16,31.5,109.7,101.0,8.6,22.7,2.4,20.8,1.7,10.5,6.2,8.7,55.4,59.9,23.6,92.9,12.8,39,50,PG,30,31.5,5.9,12.4,0.477,1.9,4.8,0.4029999999999999,4.0,7.6,0.523,0.5539999999999999,3.2,4.0,0.8009999999999999,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,UTAH,49,31.5,2.64,1.11,3.75,6.28,12.8,92.9,33,8.0,12.0,33.5,3.0
Trevor Booker,BKN,29,71,18,53,24.7,99.4,107.3,-7.9,13.1,1.09,15.3,8.9,25.1,17.2,14.0,53.7,55.4,18.8,103.12,12.7,103,148,PF,29,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,BKN,71,24.7,-2.29,2.0,-0.29,3.3,12.7,103.12,18,9.25,160.5,16.5,8.0
Nerlens Noel,DAL,23,51,24,27,20.5,103.0,105.5,-2.6,7.8,0.98,10.9,10.0,22.5,16.1,11.1,59.5,62.2,17.6,98.69,12.7,126,187,C,22,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,2.2,0.6940000000000001,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7,DAL/PHI,51,20.5,-1.33,2.58,1.25,2.95,12.7,98.69,24,4.38,663.0,105.0,64.0
Paul Millsap,ATL,32,69,40,29,34.0,105.0,103.0,2.0,17.2,1.59,16.2,5.3,19.2,12.4,10.1,48.1,54.2,24.3,100.22,12.6,32,41,PF,31,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,ATL,69,34.0,1.23,3.35,4.58,11.51,12.6,100.22,40,20.07,436.5,60.0,32.0
David Lee,SAS,34,79,58,21,18.7,110.2,99.2,11.0,12.6,1.51,18.4,11.8,21.1,16.7,12.1,59.0,61.3,16.6,98.36,12.6,146,225,PF,33,18.7,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,SA,79,18.7,-0.38,1.5,1.12,3.98,12.6,98.36,58,1.55,42.0,56.5,35.0
Al Horford,BOS,31,68,46,22,32.3,110.7,105.8,5.0,23.9,2.93,25.7,4.9,18.3,11.8,8.8,52.7,55.3,19.9,98.96,12.5,60,78,C,30,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,BOS,68,32.3,0.76,1.06,1.82,6.93,12.5,98.96,46,26.54,870.0,136.0,71.0
JaVale McGee,GSW,29,77,62,15,9.6,121.4,102.7,18.7,3.2,0.43,4.0,15.6,18.7,17.3,9.4,65.2,64.2,22.6,105.1,12.5,170,280,C,29,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,GS,77,9.6,0.83,0.11,0.94,2.04,12.5,105.1,62,1.4,804.5,0.0,32.0
