PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Dirk Nowitzki,DAL,39,54,23,31,26.4,104.8,106.5,-1.7,9.9,1.61,9.5,1.8,26.7,14.0,5.9,49.5,52.9,25.5,96.06,12.4,57,74,PF,38,26.4,5.5,12.6,0.437,1.5,3.9,0.3779999999999999,4.0,8.7,0.4629999999999999,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,DAL,54,26.4,-0.38,0.64,0.26,3.02,12.4,96.06,23,25.0,2960.0,1564.0,500.5
Kenneth Faried,DEN,27,61,29,32,21.2,109.0,112.1,-3.1,6.4,0.93,9.0,15.7,24.3,20.0,9.6,54.8,58.8,18.1,100.81,12.4,106,157,PF,27,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,3.7,6.7,0.556,0.5479999999999999,2.1,3.1,0.693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,9.6,DEN,61,21.2,-0.07,-1.55,-1.62,1.27,12.4,100.81,29,12.08,376.5,14.0,8.0
LaMarcus Aldridge,SAS,31,72,52,20,32.4,109.1,103.0,6.1,10.0,1.42,9.9,8.4,17.1,12.8,7.0,48.8,53.2,24.9,94.47,12.2,37,47,PF,31,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,SA,72,32.4,-0.09,1.05,0.96,5.79,12.2,94.47,52,20.58,958.0,195.0,63.0
Jabari Parker,MIL,22,51,22,29,33.9,106.8,109.3,-2.5,13.7,1.53,12.4,5.3,15.1,10.3,8.1,53.0,56.3,26.0,98.47,12.1,26,33,PF,21,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1,MIL,51,33.9,0.83,-1.61,-0.78,2.59,12.1,98.47,22,5.37,815.0,267.0,125.0
Dwyane Wade,CHI,35,60,29,31,29.9,103.1,105.5,-2.4,22.1,1.65,15.8,3.7,12.5,8.0,9.6,45.7,50.8,29.3,98.2,12.1,30,39,SG,35,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,CHI,60,29.9,-0.45,-0.46,-0.91,2.52,12.1,98.2,29,23.2,4671.0,349.5,149.5
Jrue Holiday,NOP,27,67,32,35,32.7,103.7,102.8,0.9,35.5,2.52,29.6,2.2,10.3,6.3,11.8,51.0,53.2,23.5,100.12,12.1,47,59,PG,26,32.7,6.0,13.3,0.4539999999999999,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4,NO,67,32.7,0.64,1.18,1.82,6.89,12.1,100.12,32,11.29,547.5,0.0,39.0
Nick Collison,OKC,36,20,10,10,6.4,86.8,104.1,-17.2,17.1,3.0,28.2,6.8,18.6,12.4,9.4,60.9,62.2,10.1,97.52,12.0,234,455,PF,36,6.4,0.7,1.2,0.609,0.0,0.1,0.0,0.7,1.1,0.636,0.609,0.3,0.4,0.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7,OKC,20,6.4,-2.18,1.12,-1.06,0.17,12.0,97.52,10,3.75,283.5,10.0,12.0
Bradley Beal,WAS,24,77,48,29,34.9,112.1,106.5,5.6,15.4,1.71,14.1,2.2,7.8,5.0,8.2,56.6,60.4,26.3,100.11,11.9,15,18,SG,23,34.9,8.3,17.2,0.482,2.9,7.2,0.4039999999999999,5.4,10.0,0.5379999999999999,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,WSH,77,34.9,3.29,-1.04,2.25,9.26,11.9,100.11,48,22.12,413.5,55.5,40.5
Carmelo Anthony,NYK,33,74,29,45,34.3,106.1,111.1,-5.0,14.1,1.39,11.1,2.6,16.0,9.2,8.0,48.8,53.5,29.0,98.48,11.8,17,22,SF,32,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,NY,74,34.3,1.87,-1.75,0.12,5.26,11.8,98.48,29,24.56,3773.5,720.5,220.0
Nicolas Batum,CHA,28,77,35,42,34.0,107.4,106.2,1.3,27.3,2.35,26.1,1.9,18.4,10.1,11.1,47.2,52.9,22.1,98.76,11.8,49,61,SG,28,34.0,5.1,12.7,0.4029999999999999,1.8,5.3,0.3329999999999999,3.4,7.4,0.4529999999999999,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,CHA,77,34.0,1.3,-0.35,0.95,6.73,11.8,98.76,35,20.87,374.5,114.5,66.0
Tyreke Evans,SAC,27,40,17,23,19.7,97.5,106.2,-8.6,28.1,2.03,20.8,1.7,17.8,9.5,10.2,46.2,50.1,27.0,98.53,11.8,97,139,SF,27,19.7,3.8,9.3,0.405,1.1,3.0,0.356,2.7,6.3,0.429,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,NO/SAC,40,19.7,-1.52,0.02,-1.5,0.81,11.8,98.53,17,10.2,701.0,6.0,9.0
Dennis Schroder,ATL,23,79,42,37,31.5,103.4,105.4,-2.0,34.0,1.93,24.0,1.9,8.8,5.4,12.4,49.3,53.3,27.6,100.32,11.7,36,45,PG,23,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,ATL,79,31.5,0.31,-2.76,-2.45,1.07,11.7,100.32,42,2.71,2.0,51.5,20.0
Draymond Green,GSW,27,76,62,14,32.5,115.2,99.3,15.9,27.2,2.9,36.5,4.6,20.5,13.2,12.6,48.1,52.2,16.0,103.34,11.7,99,142,PF,26,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2.0,2.8,0.7090000000000001,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,GS,76,32.5,1.55,5.59,7.14,16.84,11.7,103.34,62,15.33,2946.0,627.0,168.5
Jusuf Nurkic,POR,22,65,34,31,21.4,104.4,106.5,-2.1,14.2,0.86,13.8,12.4,23.6,18.2,16.0,50.7,52.8,23.5,100.65,11.7,100,144,C,22,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,3.2,0.5710000000000001,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2,DEN/POR,65,21.4,-2.11,2.73,0.62,3.32,11.7,100.65,34,1.92,3.0,45.0,43.5
Elfrid Payton,ORL,23,82,29,53,29.4,104.7,107.5,-2.7,32.9,2.97,30.9,3.9,13.6,8.6,10.4,49.3,52.0,21.3,100.23,11.7,71,99,PG,22,29.4,5.2,11.1,0.471,0.5,1.8,0.2739999999999999,4.8,9.3,0.509,0.493,1.8,2.6,0.6920000000000001,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,ORL,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29,2.61,4.0,19.0,8.0
Michael Beasley,MIL,28,56,23,33,16.7,106.9,108.5,-1.6,9.6,0.8,9.3,5.1,18.6,12.0,11.6,55.4,58.4,24.8,97.91,11.6,111,163,PF,28,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,MIL,56,16.7,-1.7,-0.61,-2.31,0.48,11.6,97.91,23,1.4,939.0,8.0,5.0
Brandan Wright,MEM,29,28,14,14,16.0,106.1,102.3,3.9,6.0,1.5,8.6,7.8,11.5,9.7,5.7,61.5,62.8,16.6,93.54,11.6,154,246,PF,29,16.0,3.0,4.8,0.615,0.0,0.0,0.0,3.0,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,MEM,28,16.0,-0.86,0.4,-0.46,0.71,11.6,93.54,14,5.71,152.5,0.0,6.0
Ricky Rubio,MIN,26,75,28,47,32.9,108.9,109.9,-1.0,38.5,3.5,41.3,3.2,11.2,7.2,11.8,44.8,53.9,17.4,97.07,11.4,81,115,PG,26,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.4429999999999999,0.4479999999999999,3.4,3.8,0.8909999999999999,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,MIN,75,32.9,1.73,0.76,2.49,8.72,11.4,97.07,28,13.55,763.0,262.5,76.0
Marreese Speights,LAC,29,82,51,31,15.7,106.0,108.4,-2.4,8.5,0.94,8.8,7.7,24.5,16.1,9.3,53.9,58.4,23.9,97.43,11.4,127,188,C,29,15.7,3.0,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,LAC,82,15.7,0.67,0.69,1.36,3.66,11.4,97.43,51,1.4,564.5,80.0,12.0
Danilo Gallinari,DEN,28,63,31,32,33.9,112.1,109.4,2.7,9.0,1.65,11.9,2.1,14.4,8.4,7.2,53.1,62.2,20.0,100.53,11.4,31,40,SF,28,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,DEN,63,33.9,2.67,0.21,2.88,8.39,11.4,100.53,31,15.05,350.0,29.0,6.0
Tobias Harris,DET,24,82,37,45,31.3,104.3,105.5,-1.3,8.7,1.48,10.1,2.6,15.5,8.9,6.9,53.2,56.8,21.8,97.41,11.3,42,54,PF,24,31.3,6.2,13.0,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1,DET,82,31.3,1.19,-0.25,0.94,6.55,11.3,97.41,37,17.2,327.0,2.0,4.0
Julius Randle,LAL,22,74,24,50,28.8,103.1,113.3,-10.2,19.5,1.53,19.8,7.4,25.4,16.1,13.0,49.9,54.3,21.5,100.9,11.3,69,92,PF,22,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,LAL,74,28.8,-0.79,-1.03,-1.82,1.83,11.3,100.9,24,3.27,519.0,102.0,59.0
Derrick Rose,NYK,28,64,26,38,32.5,107.3,111.1,-3.9,21.6,1.93,18.6,3.4,9.2,6.3,9.7,47.7,53.0,25.6,99.19,11.2,35,44,PG,28,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7.0,14.3,0.487,0.477,3.5,4.0,0.8740000000000001,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,NY,64,32.5,0.11,-2.36,-2.25,1.17,11.2,99.19,26,21.32,3273.5,1864.0,2504.5
Myles Turner,IND,21,81,42,39,31.4,108.3,105.1,3.2,6.5,1.01,8.7,6.4,19.2,13.1,8.7,53.4,58.5,19.7,98.5,11.2,55,71,C,20,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5.0,9.3,0.536,0.534,3.0,3.7,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5,IND,81,31.4,0.09,2.57,2.66,9.31,11.2,98.5,42,2.46,10.0,53.0,31.0
Kelly Olynyk,BOS,26,75,49,26,20.5,103.7,104.2,-0.4,15.9,1.54,18.4,5.3,20.7,13.1,11.9,57.9,60.3,18.8,99.85,11.0,122,180,C,25,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0,BOS,75,20.5,-0.31,0.81,0.5,3.54,11.0,99.85,49,3.09,457.0,56.5,16.0
Bobby Portis,CHI,22,64,30,34,15.6,101.7,106.0,-4.3,5.9,0.95,7.4,7.8,24.2,15.8,7.8,53.1,54.5,19.3,97.38,11.0,152,244,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.3329999999999999,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,11.0,97.38,30,1.45,193.0,37.0,73.0
Bobby Portis,CHI,22,64,30,34,15.6,101.7,106.0,-4.3,5.9,0.95,7.4,7.8,24.2,15.8,7.8,53.1,54.5,19.3,97.38,11.0,153,244,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.3329999999999999,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,11.0,97.38,30,1.52,193.0,37.0,73.0
Marcin Gortat,WAS,33,82,49,33,31.2,110.2,107.4,2.8,6.5,1.02,12.3,10.4,26.9,18.6,12.1,57.9,59.3,14.7,99.85,10.9,89,126,C,32,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,WSH,82,31.2,-1.25,1.18,-0.07,5.01,10.9,99.85,49,12.0,315.0,1.0,1.0
Spencer Hawes,MIL,29,54,27,27,14.8,99.0,109.2,-10.2,17.4,1.65,18.8,5.2,21.5,13.3,11.4,52.9,56.2,19.7,100.06,10.9,166,272,PF,28,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2.0,3.6,0.556,0.529,0.8,1.0,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,MIL/CHA,54,14.8,-2.13,-0.87,-3.0,0.06,10.9,100.06,27,6.35,195.0,12.0,4.0
Klay Thompson,GSW,27,78,66,12,34.0,115.6,100.9,14.7,9.0,1.25,9.1,2.2,9.1,6.0,7.3,56.5,59.2,26.2,102.15,10.9,18,24,SG,26,34.0,8.3,17.6,0.4679999999999999,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,GS,78,34.0,2.78,-0.45,2.33,9.53,10.9,102.15,66,16.66,3708.0,797.0,225.0
Tyler Johnson,MIA,25,73,35,38,29.8,104.0,103.5,0.5,17.0,2.59,18.5,2.5,12.5,7.4,7.1,49.0,53.5,20.7,98.21,10.8,66,85,PG,24,29.8,4.9,11.3,0.433,1.3,3.4,0.372,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7,MIA,73,29.8,0.13,0.18,0.31,4.72,10.8,98.21,35,5.63,11.0,3.0,6.0
Derrick Favors,UTA,25,50,33,17,23.7,105.1,102.3,2.8,7.9,0.93,9.6,9.2,20.5,15.0,10.3,49.0,51.2,20.8,92.72,10.8,108,160,PF,25,23.7,4.1,8.3,0.487,0.1,0.2,0.3,4.0,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,UTAH,50,23.7,-2.76,2.06,-0.7,1.73,10.8,92.72,33,11.05,295.0,25.0,6.5
Dwight Powell,DAL,25,77,30,47,17.3,104.2,110.6,-6.4,6.2,1.44,9.4,7.7,20.2,13.5,6.5,54.2,58.8,16.6,93.78,10.7,156,251,C,25,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.5710000000000001,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,DAL,77,17.3,-0.66,-0.51,-1.17,1.58,10.7,93.78,30,8.38,213.0,0.0,10.0
Tiago Splitter,PHI,32,8,1,7,9.5,106.6,110.1,-3.5,8.9,0.67,8.7,10.0,22.6,15.5,13.1,48.4,54.4,22.2,99.11,10.6,192,337,C,32,9.5,1.8,3.9,0.452,0.3,0.8,0.3329999999999999,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1.0,1.8,2.8,0.5,0.1,0.1,0.8,1.0,4.9,PHI,8,9.5,-1.97,0.69,-1.28,0.09,10.6,99.11,1,8.55,274.5,8.0,9.0
Rajon Rondo,CHI,31,69,34,35,26.7,104.2,106.3,-2.1,36.1,2.73,38.0,4.3,16.7,10.5,13.9,45.3,46.1,17.7,97.96,10.6,139,210,PG,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.4529999999999999,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,CHI,69,26.7,-1.35,-0.49,-1.84,1.51,10.6,97.96,34,14.0,1765.0,185.5,74.0
Willie Cauley-Stein,SAC,23,75,29,46,18.9,102.5,108.8,-6.3,9.3,1.16,11.5,6.9,20.0,13.5,9.9,53.0,55.8,19.9,96.91,10.6,132,200,C,23,18.9,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,0.532,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,SAC,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29,3.55,456.5,0.0,17.0
Kristaps Porzingis,NYK,21,66,26,40,32.8,104.6,107.7,-3.1,7.3,0.82,7.4,5.6,17.7,11.7,9.0,50.7,54.6,24.4,99.15,10.6,34,43,PF,21,32.8,6.7,14.9,0.45,1.7,4.8,0.357,5.0,10.2,0.493,0.507,3.0,3.8,0.7859999999999999,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1,NY,66,32.8,-0.31,1.9,1.59,6.54,10.6,99.15,26,4.32,20.0,485.0,214.0
Delon Wright,TOR,25,27,19,8,16.5,104.9,96.2,8.8,20.4,2.28,25.7,4.2,8.4,6.3,11.3,46.6,53.5,16.7,94.48,10.5,177,303,PG,24,16.5,1.8,4.3,0.422,0.4,1.1,0.3329999999999999,1.4,3.2,0.4529999999999999,0.466,1.6,2.0,0.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,TOR,27,16.5,-1.28,0.98,-0.3,0.77,10.5,94.48,19,1.58,202.5,11.5,14.0
Kris Humphries,ATL,32,56,31,25,12.3,97.3,101.7,-4.4,7.0,1.04,9.4,9.5,24.5,16.8,9.1,45.1,51.4,18.0,98.12,10.5,196,345,PF,31,12.3,1.6,3.8,0.407,0.3,1.0,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,ATL,56,12.3,-2.3,0.41,-1.89,0.54,10.5,98.12,31,4.0,2940.5,67.0,9.0
Khris Middleton,MIL,25,29,19,10,30.7,109.7,104.0,5.7,17.5,1.52,18.4,1.5,15.3,8.5,12.1,51.8,57.0,23.2,94.63,10.4,52,66,SF,25,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.4589999999999999,0.518,2.8,3.2,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,MIL,29,30.7,0.14,1.26,1.4,2.44,10.4,94.63,19,15.2,255.5,16.0,9.0
Nikola Mirotic,CHI,26,70,37,33,24.0,107.7,103.0,4.7,6.9,0.94,9.0,4.0,20.8,12.5,9.6,51.6,54.6,19.8,97.95,10.4,93,133,PF,25,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,CHI,70,24.0,0.92,1.31,2.23,5.69,10.4,97.95,37,5.78,5.0,119.0,50.5
Jae Crowder,BOS,26,72,48,24,32.4,112.3,104.5,7.8,9.7,1.94,14.8,2.4,17.1,9.9,7.6,57.2,61.3,17.0,99.94,10.3,63,81,SF,26,32.4,4.6,10.0,0.4629999999999999,2.2,5.5,0.3979999999999999,2.4,4.5,0.54,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,BOS,72,32.4,2.2,1.69,3.89,10.52,10.3,99.94,48,6.29,438.5,55.0,47.0
Will Barton,DEN,26,60,31,29,28.4,107.7,110.6,-2.9,18.5,2.12,19.6,3.7,13.2,8.4,9.2,50.8,54.7,21.1,100.14,10.2,65,83,SG,26,28.4,4.9,11.1,0.4429999999999999,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,DEN,60,28.4,0.05,-1.2,-1.15,2.2,10.2,100.14,31,3.53,190.0,1.0,3.0
Andre Iguodala,GSW,33,76,64,12,26.3,114.3,101.0,13.4,16.9,4.5,33.5,3.0,13.1,8.4,7.4,60.5,62.4,11.3,101.92,10.2,143,215,SF,33,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2.0,3.1,0.6509999999999999,0.605,0.9,1.3,0.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,GS,76,26.3,2.01,1.52,3.53,8.72,10.2,101.92,64,11.13,1748.5,300.5,43.0
Channing Frye,CLE,34,74,44,30,18.9,110.1,109.0,1.0,5.0,0.85,6.9,3.1,19.0,11.4,8.1,58.9,61.2,19.6,98.14,10.1,120,174,C,33,18.9,3.2,7.0,0.4579999999999999,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1.0,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,CLE,74,18.9,1.62,-0.58,1.04,3.7,10.1,98.14,44,7.81,445.0,8.0,4.0
Dion Waiters,MIA,25,46,27,19,30.1,106.5,103.8,2.8,23.4,1.94,19.6,1.5,10.7,6.1,10.1,48.8,50.7,26.4,98.03,10.0,44,56,SG,25,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.4379999999999999,0.488,1.8,2.8,0.6459999999999999,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,MIA,46,30.1,0.12,-0.07,0.05,2.8,10.0,98.03,27,2.9,512.0,0.0,7.0
Darren Collison,SAC,29,68,26,42,30.3,106.1,110.4,-4.2,24.3,2.74,25.7,1.3,7.4,4.3,9.4,52.7,57.0,20.0,96.23,10.0,68,91,PG,29,30.3,5.0,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,SAC,68,30.3,1.06,-1.47,-0.41,3.44,10.0,96.23,26,5.23,295.0,4.0,7.0
