PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Quincy Acy,BKN,26,38,11,27,14.7,102.1,106.9,-4.7,5.3,0.86,7.6,4.1,19.2,11.7,8.9,52.1,56.5,16.9,101.09,8.3,174,292,PF,26,14.7,1.8,4.5,0.412,1.0,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,DAL/BKN,38,14.7,-2.38,-0.21,-2.59,0.01,8.3,101.09,11,1.79,179.0,4.0,4.0
Ian Mahinmi,WAS,30,31,19,12,17.9,104.3,104.0,0.3,5.0,0.56,9.6,9.8,20.4,15.2,17.3,58.6,60.1,14.0,98.9,8.2,175,301,C,30,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,WSH,31,17.9,-2.22,3.11,0.89,1.44,8.2,98.9,19,15.94,162.5,10.0,5.0
Wayne Ellington,MIA,29,62,35,27,24.2,107.1,104.4,2.7,7.0,2.33,10.4,1.3,8.7,4.9,4.5,55.0,56.5,17.9,97.3,8.2,96,136,SG,29,24.2,3.7,9.0,0.416,2.4,6.4,0.3779999999999999,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,MIA,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35,6.0,204.0,18.0,12.0
Georgios Papagiannis,SAC,19,22,7,15,16.1,104.3,110.5,-6.2,8.5,0.83,13.1,9.0,18.3,14.2,15.8,54.9,57.3,16.9,96.93,8.2,176,302,C,19,16.1,2.5,4.6,0.5489999999999999,0.0,0.1,0.0,2.5,4.5,0.56,0.5489999999999999,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6,SAC,22,16.1,-2.47,-0.3,-2.77,0.08,8.2,96.93,7,2.2,172.0,7.0,3.0
Eric Gordon,HOU,28,75,50,25,31.0,110.8,104.6,6.2,12.5,1.55,13.4,1.4,7.8,4.6,8.6,52.7,55.7,22.0,103.07,8.2,41,53,SG,28,31.0,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.4679999999999999,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,HOU,75,31.0,1.51,-0.48,1.03,6.36,8.2,103.07,50,12.39,346.0,55.0,26.0
Adreian Payne,MIN,26,18,5,13,7.5,102.6,101.8,0.8,8.9,0.88,9.0,6.9,20.0,13.2,10.3,45.4,50.5,22.4,96.52,8.2,210,381,PF,25,7.5,1.3,3.0,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.4539999999999999,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,MIN,18,7.5,-1.69,1.36,-0.33,0.24,8.2,96.52,5,2.02,166.0,0.0,13.0
Marcus Smart,BOS,23,79,51,28,30.4,107.2,104.7,2.5,22.6,2.29,26.3,3.6,10.7,7.1,11.5,42.2,48.6,18.5,100.29,8.1,94,134,SG,22,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,BOS,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51,3.58,399.5,1.0,9.0
Reggie Bullock,DET,26,31,13,18,15.1,104.7,99.8,5.0,8.6,2.9,17.1,2.9,11.9,7.3,5.9,53.1,53.8,13.1,98.05,8.1,198,349,SF,25,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,DET,31,15.1,-0.98,0.57,-0.41,0.79,8.1,98.05,13,2.26,125.0,20.0,13.0
Kyle Korver,CLE,36,67,33,34,26.2,104.6,109.5,-4.9,9.3,1.59,15.4,0.5,11.4,6.0,9.7,62.1,63.5,15.1,100.0,8.1,102,146,SG,35,26.2,3.6,7.7,0.4639999999999999,2.4,5.4,0.451,1.1,2.3,0.494,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,ATL/CLE,67,26.2,-0.15,-2.61,-2.76,0.41,8.1,100.0,33,5.24,842.5,107.5,30.5
Jodie Meeks,ORL,29,36,14,22,20.5,104.9,110.4,-5.4,8.9,1.25,12.2,0.7,11.4,5.9,9.7,51.2,56.7,19.6,100.24,8.1,121,177,SG,29,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,ORL,36,20.5,-0.05,-1.6,-1.65,0.7,8.1,100.24,14,6.54,173.0,36.5,15.0
Trey Burke,WAS,24,57,35,22,12.3,99.4,108.6,-9.2,23.0,2.08,24.1,1.2,6.5,3.8,11.5,51.6,53.2,20.5,96.37,8.1,189,329,PG,24,12.3,2.0,4.5,0.455,0.5,1.2,0.4429999999999999,1.5,3.2,0.4589999999999999,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0,WSH,57,12.3,-2.15,-3.09,-5.24,-0.92,8.1,96.37,35,3.39,429.5,41.0,14.0
Marcus Morris,DET,27,79,36,43,32.5,102.8,105.7,-2.8,9.5,1.84,12.0,3.1,12.7,7.7,6.5,47.7,50.8,20.2,97.01,8.0,61,79,SF,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,DET,79,32.5,-0.11,0.63,0.52,5.85,8.0,97.01,36,4.62,5.5,6.0,23.0
Tony Allen,MEM,35,71,36,35,27.0,105.6,104.4,1.2,8.3,0.98,11.5,9.5,13.9,11.6,11.8,47.3,49.3,18.1,93.85,8.0,119,173,SG,35,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,MEM,71,27.0,-2.03,2.15,0.12,3.76,8.0,93.85,36,5.51,17.0,10.5,11.0
Jamal Crawford,LAC,37,82,51,31,26.3,106.7,108.4,-1.7,15.9,1.6,16.4,0.9,5.8,3.4,10.2,47.9,52.5,22.5,98.53,7.9,74,106,SG,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3.0,6.7,0.4429999999999999,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,LAC,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,13.25,1010.0,49.0,32.0
Jared Dudley,PHX,31,64,17,47,21.3,102.9,103.9,-1.0,12.6,1.66,21.3,2.4,15.6,8.9,12.8,56.5,57.9,13.8,103.23,7.9,150,241,PF,31,21.3,2.5,5.4,0.4539999999999999,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,PHX,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17,10.47,184.0,31.0,4.0
Shelvin Mack,UTA,27,55,34,21,21.9,105.1,104.8,0.3,21.0,1.71,23.4,2.0,9.9,6.0,13.7,49.5,51.8,19.5,93.44,7.9,138,208,PG,26,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,UTAH,55,21.9,-1.51,-1.28,-2.79,0.25,7.9,93.44,34,2.43,121.5,6.0,3.0
Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,103.7,107.7,-4.0,11.1,2.24,15.0,2.2,8.7,5.3,6.7,48.1,51.9,19.1,97.61,7.8,64,82,SG,23,33.3,4.9,12.2,0.3989999999999999,2.0,5.8,0.35,2.9,6.5,0.442,0.481,2.0,2.4,0.8320000000000001,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,DET,76,33.3,0.71,-1.31,-0.6,4.02,7.8,97.61,33,3.68,223.5,9.0,10.0
Terrence Ross,ORL,26,78,39,39,25.1,111.1,107.7,3.4,6.6,1.29,9.4,1.0,10.8,5.8,7.3,53.2,55.0,18.9,99.82,7.8,84,120,SF,25,25.1,4.2,9.6,0.437,1.8,5.0,0.363,2.4,4.6,0.518,0.532,0.8,1.0,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11.0,ORL/TOR,78,25.1,1.36,-1.23,0.13,4.06,7.8,99.82,39,10.0,446.5,0.0,0.0
Fred VanVleet,TOR,23,37,25,12,7.9,103.6,91.5,12.1,18.0,2.33,20.5,1.5,13.0,7.5,8.8,40.1,44.3,20.5,97.63,7.8,220,408,PG,22,7.9,1.1,3.0,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9,TOR,37,7.9,-2.44,0.83,-1.61,0.28,7.8,97.63,25,1.31,116.5,0.0,17.5
Vince Carter,MEM,40,73,36,37,24.7,107.2,103.6,3.6,11.2,2.66,18.4,2.3,12.8,7.4,6.9,50.8,54.2,14.9,95.02,7.8,135,204,SF,40,24.6,2.6,6.7,0.3939999999999999,1.5,4.1,0.3779999999999999,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,MEM,73,24.7,1.36,-0.06,1.3,4.81,7.8,95.02,36,4.26,2891.5,0.0,7.0
Jamal Murray,DEN,20,82,40,42,21.5,109.1,108.1,1.0,14.2,1.5,16.0,2.6,10.4,6.6,10.6,48.3,51.8,21.6,101.15,7.8,105,154,SG,19,21.5,3.6,8.9,0.4039999999999999,1.4,4.2,0.3339999999999999,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,DEN,82,21.5,0.06,-1.57,-1.51,1.86,7.8,101.15,40,3.21,411.0,0.0,62.5
Courtney Lee,NYK,31,77,29,48,31.9,105.8,110.8,-4.9,10.4,2.59,18.0,2.3,9.2,5.7,6.9,53.3,55.9,14.5,97.86,7.7,90,128,SG,31,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,NY,77,31.9,0.58,-1.51,-0.93,3.4,7.7,97.86,29,11.24,337.5,2.0,1.0
Luol Deng,LAL,32,56,18,38,26.5,102.0,108.4,-6.4,7.3,1.72,13.0,4.4,17.2,10.6,7.6,44.7,47.0,14.3,100.3,7.7,142,214,SF,31,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,LAL,56,26.5,-1.87,1.54,-0.33,2.69,7.7,100.3,18,18.0,838.0,22.0,13.5
Jeff Green,ORL,30,69,26,43,22.2,97.5,106.6,-9.1,8.9,1.08,10.3,2.7,12.5,7.5,9.5,44.2,50.5,20.4,98.84,7.7,115,168,PF,30,22.2,3.2,8.1,0.3939999999999999,0.8,2.8,0.275,2.4,5.3,0.4579999999999999,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,ORL,69,22.2,-2.03,-1.31,-3.34,-0.21,7.7,98.84,26,15.0,14.0,57.5,28.5
Henry Ellenson,DET,20,19,8,11,7.7,101.0,103.0,-2.0,7.4,0.5,7.9,5.6,23.4,14.4,15.8,43.8,44.4,24.8,95.74,7.6,215,395,PF,20,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.4479999999999999,0.4379999999999999,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,DET,19,7.7,-2.32,0.38,-1.94,0.1,7.6,95.74,8,1.7,147.0,6.5,5.0
Trey Lyles,UTA,21,71,43,28,16.3,103.9,103.0,0.9,9.8,1.08,11.4,4.7,17.8,11.3,10.5,43.6,46.4,21.4,94.43,7.6,167,273,PF,21,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2,UTAH,71,16.3,-2.48,-0.23,-2.71,0.29,7.6,94.43,43,2.34,334.5,48.0,12.0
Cole Aldrich,MIN,28,62,23,39,8.6,107.3,107.5,-0.2,6.3,1.47,18.2,11.0,24.8,17.6,12.3,52.3,54.9,9.4,97.42,7.6,233,454,C,28,8.6,0.7,1.4,0.523,0.0,0.0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,MIN,62,8.6,-1.82,1.83,0.01,1.04,7.6,97.42,23,7.64,220.5,22.0,9.0
Nick Young,LAL,32,60,19,41,25.9,105.2,112.1,-6.9,5.7,1.61,7.6,1.7,8.1,4.7,4.7,56.4,58.8,19.5,100.59,7.5,70,93,SG,31,25.9,4.5,10.6,0.43,2.8,7.0,0.4039999999999999,1.7,3.5,0.481,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2,LAL,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19,5.44,27.0,45.5,14.0
Jameer Nelson,DEN,35,75,34,41,27.3,110.8,109.7,1.1,25.8,3.01,33.6,1.5,8.9,5.2,11.2,53.1,54.4,15.7,100.06,7.5,118,172,PG,34,27.3,3.6,8.1,0.444,1.4,3.6,0.3879999999999999,2.2,4.4,0.489,0.531,0.6,0.8,0.7140000000000001,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,DEN,75,27.3,0.45,-0.44,0.01,4.17,7.5,100.06,34,4.54,369.0,0.0,9.0
Patrick Patterson,TOR,28,65,42,23,24.6,113.4,102.5,10.9,6.6,2.0,14.5,4.5,16.2,10.4,7.2,52.3,54.2,12.5,97.3,7.5,151,243,PF,27,24.6,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2.0,0.4579999999999999,0.523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,TOR,65,24.6,1.05,1.26,2.31,5.4,7.5,97.3,42,6.05,8.0,53.5,8.0
Emmanuel Mudiay,DEN,21,55,25,30,25.6,106.8,112.3,-5.5,22.2,1.76,22.5,2.3,11.6,7.0,12.8,42.8,48.3,22.4,101.93,7.4,83,119,PG,20,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3.0,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,DEN,55,25.6,-1.52,-2.38,-3.9,-0.71,7.4,101.93,25,3.24,545.0,69.0,21.0
Allen Crabbe,POR,25,79,39,40,28.5,106.1,108.9,-2.8,6.3,1.52,11.0,0.9,10.5,5.6,7.2,57.2,60.2,14.9,99.95,7.4,91,129,SG,24,28.5,3.8,8.2,0.4679999999999999,1.7,3.8,0.444,2.1,4.4,0.49,0.5720000000000001,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,POR,79,28.5,0.22,-2.87,-2.65,0.68,7.4,99.95,39,18.5,193.5,11.5,9.0
Udonis Haslem,MIA,37,16,6,10,8.1,82.7,106.5,-23.8,9.4,0.75,13.8,6.3,25.5,15.3,18.3,47.8,52.4,13.1,98.53,7.3,231,446,C,36,8.1,0.7,1.4,0.478,0.0,0.2,0.0,0.7,1.3,0.55,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,MIA,16,8.1,-2.79,0.73,-2.06,0.09,7.3,98.53,6,4.0,401.0,28.5,18.0
E'Twaun Moore,NOP,28,73,32,41,24.9,104.3,106.6,-2.4,13.8,2.65,18.7,1.9,7.0,4.4,7.1,51.9,53.7,17.4,100.16,7.3,107,158,SG,27,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,NO,73,24.9,-0.24,-1.58,-1.82,1.5,7.3,100.16,32,8.08,151.0,0.0,10.0
Omer Asik,NOP,30,31,12,19,15.6,99.4,104.4,-4.9,4.4,1.07,13.5,10.1,25.2,17.5,12.6,47.7,51.7,8.8,99.64,7.3,222,418,C,30,15.5,1.0,2.1,0.477,0.0,0.0,,1.0,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,NO,31,15.5,-2.97,1.94,-1.03,0.65,7.3,99.64,12,9.9,8.0,,
Noah Vonleh,POR,21,74,38,36,17.1,103.0,105.1,-2.0,3.6,0.48,7.6,11.1,22.4,16.7,15.7,49.4,52.5,13.1,98.18,7.3,200,358,PF,21,17.1,1.8,3.6,0.481,0.1,0.3,0.35,1.7,3.4,0.492,0.494,0.8,1.3,0.638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,POR,74,17.1,-4.02,1.03,-2.99,0.11,7.3,98.18,38,2.75,218.0,23.5,12.0
Gerald Henderson,PHI,29,72,24,48,23.2,99.7,108.1,-8.4,10.8,1.81,14.0,2.2,10.4,6.2,7.8,47.8,52.9,17.9,100.88,7.3,116,169,SG,29,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.8059999999999999,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,PHI,72,23.2,-1.51,-2.42,-3.93,-0.87,7.3,100.88,24,9.0,105.0,1.0,8.0
Ryan Kelly,ATL,26,16,6,10,6.9,97.3,94.7,2.6,11.6,2.0,18.8,1.0,16.8,8.9,9.4,35.7,40.8,14.7,96.26,7.3,236,459,PF,25,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.833,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,ATL,16,6.9,-1.94,1.45,-0.49,0.08,7.3,96.26,6,1.58,23.0,17.0,10.0
Briante Weber,CHA,24,20,12,8,10.3,102.3,113.2,-10.8,16.8,2.63,21.9,4.3,12.6,7.9,8.3,42.5,46.2,17.3,91.12,7.2,217,399,PG,24,10.3,1.3,3.0,0.417,0.1,0.5,0.1,1.2,2.5,0.48,0.425,0.6,0.8,0.688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,GS/CHA,20,10.3,-2.02,-1.29,-3.31,-0.02,7.2,91.12,12,1.47,81.5,29.5,14.0
Thon Maker,MIL,20,57,31,26,9.9,106.7,105.4,1.3,6.9,1.35,9.5,8.1,16.7,12.2,7.0,53.6,55.8,18.7,94.0,7.2,203,370,C,19,9.9,1.5,3.2,0.4589999999999999,0.5,1.3,0.3779999999999999,1.0,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2.0,0.4,0.2,0.5,0.3,1.5,4.0,MIL,57,9.9,-1.23,0.17,-1.06,0.7,7.2,94.0,31,2.57,976.0,0.0,39.5
DeMarre Carroll,TOR,30,72,44,28,26.1,109.5,106.3,3.3,5.6,1.37,10.1,3.8,12.6,8.3,7.4,49.9,53.0,15.6,96.82,7.1,124,182,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,TOR,72,26.1,0.0,0.83,0.83,4.66,7.1,96.82,44,14.2,363.5,29.5,8.0
Garrett Temple,SAC,31,65,25,40,26.6,104.6,109.7,-5.1,14.6,2.15,23.6,2.2,10.1,6.2,11.0,51.9,54.5,14.2,97.51,7.1,140,211,SG,30,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,SAC,65,26.6,-0.14,-0.46,-0.6,2.67,7.1,97.51,25,8.0,100.0,2.0,1.0
Boris Diaw,UTA,35,73,45,28,17.6,106.0,103.6,2.4,20.7,1.95,28.4,4.3,10.3,7.3,14.5,47.7,49.4,15.8,93.08,7.1,195,343,PF,34,17.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.477,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,UTAH,73,17.6,-2.58,-0.5,-3.08,0.03,7.1,93.08,45,7.0,489.5,136.5,13.0
Jaylen Brown,BOS,20,78,50,28,17.2,103.0,105.1,-2.2,7.7,0.94,10.5,3.8,14.6,9.2,11.2,50.8,53.9,18.3,99.02,7.1,157,253,SF,20,17.2,2.5,5.4,0.4539999999999999,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,-2.95,-0.42,-3.37,-0.21,7.1,99.02,50,4.74,441.0,0.0,100.0
Michael Carter-Williams,CHI,25,45,25,20,18.8,103.3,104.1,-0.8,20.3,1.71,21.8,2.9,16.9,9.7,12.7,39.1,43.7,20.7,98.47,7.0,158,254,PG,25,18.8,2.5,6.8,0.366,0.3,1.4,0.2339999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,CHI,45,18.8,-2.82,1.12,-1.7,0.77,7.0,98.47,25,3.18,645.0,0.0,5.0
Tyler Ennis,LAL,22,53,28,25,11.1,103.5,103.7,-0.2,21.1,1.91,24.6,1.7,7.2,4.4,12.9,49.8,52.1,19.4,100.23,7.0,201,360,PG,22,11.1,1.7,3.9,0.433,0.5,1.3,0.386,1.2,2.6,0.457,0.498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0.0,0.8,1.1,4.3,HOU/LAL,53,11.1,-1.36,-0.51,-1.87,0.49,7.0,100.23,28,1.73,18.0,11.0,6.0
Jonas Jerebko,BOS,30,78,51,27,15.8,108.9,105.7,3.2,8.1,1.82,18.3,5.5,19.2,12.5,10.0,52.1,53.7,11.5,98.94,6.9,208,377,PF,29,15.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,BOS,78,15.8,-0.89,-0.14,-1.03,1.63,6.9,98.94,51,5.0,215.5,7.0,17.0
Maurice Harkless,POR,24,77,38,39,28.9,111.7,108.3,3.4,5.6,1.02,10.3,6.2,10.7,8.5,10.1,55.8,57.0,15.1,99.45,6.9,104,151,SF,23,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.5720000000000001,0.5579999999999999,1.0,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0,POR,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38,8.99,204.5,0.0,14.5
